,AAPL_price,AAPL_mcap,AAPL_return,AMZN_price,AMZN_mcap,AMZN_return,GOOGL_price,GOOGL_mcap,GOOGL_return,META_price,META_mcap,META_return,MSFT_price,MSFT_mcap,MSFT_return,NVDA_price,NVDA_mcap,NVDA_return,TSLA_price,TSLA_mcap,TSLA_return,SPX_price,SPX_mcap,SPX_return,GOOG_price,GOOG_mcap,GOOG_return
2015-01-01,27.595,647361.022,-1.9019,15.518,143694.0484,0.0161,26.533,358420.4629,-0.8631,78.02,217507.898,-1.5148,46.45,382880.5004,-1.2123,0.5013,10897.9154,-1.5709,14.8273,27886.1656,0.081,2058.9,18845822.34,-1.03,26.248,358420.4629,-0.7579
2015-01-02,27.333,641202.9401,-0.9513,15.426,142846.7466,-0.5897,26.478,357491.5838,-0.2092,78.45,218706.6726,0.5511,46.76,385435.7847,0.6674,0.5033,10941.3983,0.399,14.6207,27497.4821,-1.3938,2058.2,18840128.85,-0.03,26.169,357491.5838,-0.3021
2015-01-05,26.563,623139.2334,-2.8172,15.11,139915.9159,-2.0517,25.973,350335.3967,-1.9054,77.19,215193.9841,-1.6061,46.325,381850.1439,-0.9303,0.4948,10756.5958,-1.689,14.006,26341.4619,-4.2041,2020.58,18497686.83,-1.83,25.623,350335.3967,-2.0846
2015-01-06,26.565,623197.8818,0.0094,14.765,136721.1714,-2.2833,25.332,341972.2134,-2.4679,76.15,212294.6223,-1.3473,45.65,376286.2184,-1.4571,0.4798,10430.4736,-3.0318,14.0853,26490.6662,0.5664,2002.61,18333610.15,-0.89,25.029,341972.2134,-2.3177
2015-01-07,26.938,631936.4932,1.4022,14.921,138170.3816,1.06,25.258,341192.3085,-0.2941,76.15,212294.6223,0.0,46.23,381067.0729,1.2705,0.4784,10400.5791,-0.2866,14.0633,26449.2902,-0.1562,2025.9,18549992.79,1.16,24.986,341192.3085,-0.1713
2015-01-08,27.973,656216.9301,3.8422,15.023,139114.9147,0.6836,25.346,342320.2721,0.3484,78.175,217940.0144,2.6592,47.59,392277.3523,2.9418,0.4965,10794.6434,3.7889,14.041,26407.2873,-0.1588,2062.14,18879846.43,1.79,25.065,342320.2721,0.3153
2015-01-09,28.003,656920.7109,0.1072,14.847,137480.502,-1.1749,25.036,338003.9265,-1.2211,77.74,216727.3005,-0.5564,47.19,388980.2113,-0.8405,0.4985,10838.1263,0.4028,13.7773,25911.4023,-1.8778,2044.81,18732484.87,-0.84,24.741,338003.9265,-1.2951
2015-01-12,27.313,640733.7529,-2.4641,14.571,134924.7064,-1.859,24.853,335535.766,-0.7309,76.72,213883.6956,-1.3121,46.6,384116.9283,-1.2503,0.4923,10702.2421,-1.2538,13.4807,25353.4533,-2.1533,2028.26,18582895.38,-0.81,24.56,335535.766,-0.7296
2015-01-13,27.555,646422.6476,0.8879,14.737,136466.5179,1.1427,25.09,338344.466,0.9536,76.45,213130.9767,-0.3519,46.355,382097.4294,-0.5258,0.4914,10683.2183,-0.1778,13.6167,25609.2322,1.0089,2023.03,18533539.33,-0.26,24.741,338344.466,0.737
2015-01-14,27.45,643959.4148,-0.3811,14.664,135785.8984,-0.4987,25.297,341351.3249,0.823,76.28,212657.0425,-0.2224,45.955,378800.2884,-0.8629,0.4935,10729.4189,0.4325,12.846,24159.8186,-5.6597,2011.27,18423546.12,-0.58,24.975,341351.3249,0.9452
2015-01-15,26.705,626482.1921,-2.714,14.348,132859.6977,-2.155,25.2,341089.5649,-0.3795,74.05,206440.1415,-2.9234,45.48,374884.9335,-1.0336,0.49,10653.3238,-0.7092,12.7913,24057.0055,-0.4256,1992.67,18255077.68,-0.92,25.021,341089.5649,0.1837
